Property Type,Location,Price (€),Surface (m²),Rooms,Floor,Zip Code,Neighborhood,Address
Apartment,Berlin,Preis auf Anfrage,34,1,6,10243,Friedrichshain,"Friedrichshain, Berlin"
Wohnung zur Zwangsversteigerung,Berlin,450.000 €,89,Unknown,N/A,14059,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,281.000 €,52,2,,12249,Lankwitz,"Lankwitz, Berlin"
Apartment,Berlin,279.000 €,48,2,1,13156,Niederschönhausen,"Niederschönhausen, Berlin"
Penthouse,Berlin / Köpenick,1.680.000 €,244.7,4,3,12459,Oberschöneweide,"Oberschöneweide, Berlin / Köpenick"
House,Berlin,1.498.000 €,155,4,N/A,13507,Tegel,"Tegel, Berlin"
Apartment,Berlin,419.000 €,62,5,1,14193,Schmargendorf,"Schmargendorf, Berlin"
Apartment,Berlin,419.000 €,62,5,1,14193,Schmargendorf,"Schmargendorf, Berlin"
Apartment,Berlin / Niederschönhausen,599.000 €,137,5,5,13156,Niederschönhausen,"Niederschönhausen, Berlin / Niederschönhausen"
Apartment,Berlin,1.699.000 €,160.5,4,1,14193,Grunewald,"Grunewald, Berlin"
Apartment,Berlin,199.900 €,65,3,2,13509,Tegel,"Tegel, Berlin"
Penthouse,Berlin,1.390.000 €,288,4,N/A,14165,Zehlendorf,"Zehlendorf, Berlin"
Apartment,Berlin,695.000 €,96,3,N/A,10589,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,200.000 €,50,2,N/A,14199,Schmargendorf,"Schmargendorf, Berlin"
Apartment,Berlin,470.000 €,78.5,3,2,10439,Prenzlauer Berg,"Kanzowstraße 3, Prenzlauer Berg, Berlin"
Apartment,Berlin,199.900 €,71,3,,13125,Buch,"Buch, Berlin"
Apartment,Berlin,249.000 €,52,2,N/A,12109,Mariendorf,"Mariendorf, Berlin"
Apartment,Berlin,1.058.000 €,150.5,5,,13086,Weißensee,"Roelckestraße 111, Weißensee, Berlin"
Penthouse,Berlin,2.750.000 €,187,4,N/A,10789,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,899.500 €,135.2,4,2,10117,Mitte,"Mitte, Berlin"
Apartment,Berlin,299.000 €,56.4,2,1,12157,Schöneberg,"Schöneberg, Berlin"
Apartment,Berlin,939.000 €,112,5,1,14195,Dahlem,"Dahlem, Berlin"
Apartment,Berlin,695.000 €,102,4,1,13156,Niederschönhausen,"Niederschönhausen, Berlin"
Apartment,Berlin,679.000 €,104,4,1,13156,Niederschönhausen,"Niederschönhausen, Berlin"
Apartment,Berlin,450.000 €,89,2,N/A,14059,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,2.750.000 €,490,7,N/A,10629,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,660.000 €,94.7,3,3,12169,Steglitz,"Külzer Straße 2, Steglitz, Berlin"
Apartment,Berlin,420.000 €,86.1,3,2,12099,Tempelhof,"Tempelhof, Berlin"
Apartment,Berlin,1.799.000 €,246.1,6,,14195,Schmargendorf,"Schmargendorf, Berlin"
Apartment,Berlin,399.000 €,77.4,3,,10997,Kreuzberg,"Oppelner Straße 10, Kreuzberg, Berlin"
Apartment,Berlin,439.000 €,104,3,N/A,13585,Spandau,"Spandau, Berlin"
Apartment,Berlin,593.000 €,105,5,N/A,13467,Hermsdorf,"Hermsdorf, Berlin"
Apartment,Berlin,749.000 €,84,2,N/A,10117,Mitte,"Mitte, Berlin"
Apartment,Berlin,259.000 €,55,2,N/A,13355,Gesundbrunnen,"Gesundbrunnen, Berlin"
Apartment,Berlin,440.000 €,87,2,N/A,14059,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,287.000 €,85,4,N/A,12459,Oberschöneweide,"Oberschöneweide, Berlin"
Apartment,Berlin,530.000 €,106,3,N/A,14059,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,279.000 €,55,3,N/A,13403,Reinickendorf,"Reinickendorf, Berlin"
Apartment,Berlin,1.349.000 €,178.6,4,5,10405,Prenzlauer Berg,"Prenzlauer Berg, Berlin"
Penthouse,Berlin,649.000 €,85,2,5,10405,Prenzlauer Berg,"Prenzlauer Berg, Berlin"
Apartment,Berlin,420.000 €,61,3,2,10777,Schöneberg,"Schöneberg, Berlin"
Apartment,Berlin,249.000 €,54,2,N/A,12099,Tempelhof,"Tempelhof, Berlin"
Apartment,Berlin,495.000 €,77.6,5,1,10713,Wilmersdorf,"Wilmersdorf, Berlin"
Apartment,Berlin,279.900 €,48,2,N/A,12203,Lichterfelde,"Lichterfelde, Berlin"
Apartment,Berlin,455.000 €,63.9,2,,12527,Neukölln,"Regattastraße 11, Neukölln, Berlin"
Apartment,Berlin,195.000 €,35,1,,10365,Lichtenberg,"Lichtenberg, Berlin"
Apartment,Berlin,289.000 €,48,2,N/A,10589,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,626.000 €,96.9,3,5,13585,Hakenfelde,"Parkstraße 22, Hakenfelde, Berlin"
Apartment,Berlin,215.000 €,62,2,N/A,12357,Rudow,"Rudow, Berlin"
Apartment,Berlin,699.000 €,182.2,6,3,12557,Köpenick,"Köpenick, Berlin"
Apartment,Berlin,450.000 €,65,2,3,10249,Friedrichshain,"Friedrichshain, Berlin"
Apartment,Berlin,340.000 €,80,2,N/A,13587,Wilhelmstadt,"Wilhelmstadt, Berlin"
Apartment,Berlin,660.000 €,126,6,N/A,12309,Lichtenrade,"Lichtenrade, Berlin"
Apartment,Berlin,295.000 €,62,3,N/A,13189,Pankow,"Pankow, Berlin"
Apartment,Berlin,569.160 €,94.3,4,3,13585,Hakenfelde,"Parkstraße 29, Hakenfelde, Berlin"
Apartment,Berlin,349.000 €,64,2,1,12203,Lichterfelde,"Lichterfelde, Berlin"
Apartment,Berlin,280.000 €,70,2,,12309,Lichtenrade,"Lichtenrade, Berlin"
Apartment,Berlin,140.000 €,35,1,,12309,Lichtenrade,"Lichtenrade, Berlin"
Apartment,Berlin,140.000 €,35,1,,12309,Lichtenrade,"Lichtenrade, Berlin"
Apartment,Berlin,165.000 €,45,2,N/A,13403,Reinickendorf,"Reinickendorf, Berlin"
Apartment,Berlin,450.000 €,89,2,N/A,14059,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,440.000 €,87,2,N/A,14059,Charlottenburg,"Charlottenburg, Berlin"
House,Berlin,1.295.000 €,125,5,1,10179,Mitte,"Mitte, Berlin"
Apartment,Berlin,335.000 €,99.2,3,1,10249,Friedrichshain,"Mainzer Str. 1a, Friedrichshain, Berlin"
Apartment,Berlin,650.000 €,155,5,N/A,12163,Steglitz,"Steglitz, Berlin"
Apartment,Berlin,446.000 €,68,3,N/A,12621,Kaulsdorf,"Kaulsdorf, Berlin"
Apartment,Berlin,328.000 €,71.8,5,8,13403,Wittenau,"Wittenau, Berlin"
Apartment,Berlin,975.000 €,130,4,N/A,10629,Charlottenburg,"Charlottenburg, Berlin"
Apartment,Berlin,325.000 €,63,2,2,10247,Friedrichshain,"Markgrafendamm 34, Friedrichshain, Berlin"
Apartment,Berlin / Mitte,365.000 €,37.5,1,3,10115,Mitte,"Mitte, Berlin / Mitte"
Apartment,Berlin / Charlottenburg,550.000 €,81.5,3,1,10587,Charlottenburg,"Charlottenburg, Berlin / Charlottenburg"
Studio,Berlin,345.000 €,43,1,2,10405,Prenzlauer Berg,"Prenzlauer Berg, Berlin"
